,Unnamed: 0,Y,X1,X2,X3,X4,X5,X6,Lat,Longi
747,748,11.27657002,8.16,64,2,1,0,0.019303938,37.968971999999994,-121.319344
748,749,11.38509209,9.48,48,2,0,0,0.012531108000000001,37.977736,-121.32989599999999
749,750,11.5228758,10.0,39,3,0,1,0.014481306999999999,38.019328,-121.343528
750,751,11.15625052,10.82,49,2,0,0,0.07668435400000001,37.963776,-121.25603999999998
751,752,11.849397699999999,23.89,30,5,1,1,0.033184184,38.026848,-121.326376
752,753,11.66992921,13.53,62,2,1,1,0.034120935,37.97022,-121.303976
753,754,12.10071213,22.69,11,4,0,1,0.009679093,38.039764,-121.356384
754,755,11.790557199999999,11.67,70,2,1,1,0.033384446,37.969936,-121.30465600000001
755,756,11.86358234,14.03,61,2,0,0,0.035101277,37.975428,-121.304896
756,757,11.35627165,12.31,24,3,0,0,0.069370951,38.0323,-121.28975200000001
757,758,11.53272809,9.02,15,2,1,1,0.0029761320000000003,38.018888000000004,-121.362024
758,759,11.91170158,15.7,28,3,1,0,0.000122288,38.000244,-121.351928
759,760,11.43171541,14.05,25,3,1,1,0.003511186,38.007784,-121.3584
760,761,11.58524613,14.44,9,3,1,0,0.074973213,38.024628,-121.280864
761,762,11.891361900000001,18.66,19,4,0,0,0.020247241000000003,38.038032,-121.34443200000001
762,763,11.92171836,19.02,62,3,0,0,0.033601572,38.023096,-121.32451200000001
763,764,11.41861479,11.03,42,3,0,1,0.0070420990000000004,37.969808,-121.33276799999999
764,765,11.58058411,15.6,17,3,1,1,0.015914247,38.030728,-121.346304
765,766,11.70354582,14.14,34,3,0,0,0.011031369,38.015496,-121.34576799999999
766,767,11.50287513,12.04,27,3,1,1,0.001255749,38.007644,-121.35593600000001
767,768,11.77528973,18.32,24,4,0,0,0.037807657,38.033640000000005,-121.324
768,769,11.25544923,9.57,46,2,1,1,0.018076744,38.003036,-121.333528
769,770,12.27839331,20.64,17,3,0,1,0.012740716000000001,37.996684,-121.336832
770,771,11.65355659,14.39,23,3,0,0,0.012374298999999998,38.025604,-121.348152
771,772,11.15610765,9.96,48,2,1,1,0.0050795879999999995,37.960276,-121.33126399999999
772,773,11.69524702,13.0,62,2,0,1,0.027804633999999998,37.970664,-121.310896
773,774,11.86358234,18.0,9,4,0,0,0.053441875,38.029028000000004,-121.305544
774,775,11.38452375,9.57,46,2,1,0,0.017868102,38.001979999999996,-121.333352
775,776,11.71177632,15.06,40,3,1,1,0.024642794,38.017864,-121.33211200000001
776,777,11.6784399,15.99,74,2,1,1,0.032891516,37.969997,-121.30520600000001
777,778,12.95984445,34.47,19,3,1,0,0.009484142,37.991535999999996,-121.33836799999999
778,779,11.9511804,16.76,35,3,0,0,0.000597613,38.003572,-121.35241599999999
779,780,11.62580762,13.19,37,3,0,0,0.046461162,38.000388,-121.30218400000001
780,781,11.81303006,12.17,5,3,0,0,0.004802767,37.990348,-121.35319199999999
781,782,11.4295982,12.15,21,3,1,0,0.072100575,38.029352,-121.28572
782,783,11.00209984,10.14,48,3,1,1,0.042999117999999996,37.987376,-121.300968
783,784,12.128111099999998,23.0,22,4,0,0,0.018595004,37.995059999999995,-121.32996000000001
784,785,11.88379913,22.93,20,4,0,0,0.018260245,38.032432,-121.34443999999999
785,786,12.34147728,21.4,38,3,0,0,0.004349893,38.004003999999995,-121.348568
786,787,11.62625415,16.01,38,3,1,1,0.011382853,37.965276,-121.350752
787,788,11.38361373,10.23,48,3,0,0,0.000808496,37.970188,-121.34130400000001
788,789,11.81303006,15.57,39,3,0,0,0.014984083,38.020708,-121.34351200000002
789,790,11.93147131,17.66,8,3,1,1,0.0005953019999999999,38.04108,-121.366592
790,791,11.27720313,11.93,45,2,1,1,0.058782524,37.986404,-121.283728
791,792,11.891361900000001,19.0,41,3,0,1,0.018149165,38.020368,-121.34
792,793,11.43496392,9.9,75,2,0,1,0.034504595,37.967664,-121.3026
793,794,11.51242534,11.04,47,3,0,1,0.042878278,38.006236,-121.308224
794,795,11.88793137,16.4,3,4,0,1,0.06910913099999999,38.009944,-121.28158400000001
795,796,11.86182022,21.86,9,4,1,1,0.006949158,38.029056,-121.35525600000001
