"","Y","X1","X2","X3","X4","X5","X6","Lat","Longi"
"465",11.88448902,18,44,3,0,0,0.011732647,38.003232,-121.340384
"466",11.32055357,9,59,2,0,0,0.0105946,37.95928,-121.324992
"467",12.12269104,17,18,3,0,0,0.007391997,37.994996,-121.341912
"468",11.8493977,18,24,4,0,0,0.005705928,38.0129,-121.35048
"469",11.71177632,14,47,3,0,0,0.008518836,37.974028,-121.332784
"470",11.69524702,14,78,3,1,1,0.03701192,37.973,-121.301936
"471",12.46458334,25,13,4,0,0,0.000780735,38.015212,-121.358288
"472",11.10495723,10,49,2,1,1,0.00799361,37.959628,-121.327904
"473",11.42409425,13,27,3,0,0,0.049924274,38.027164,-121.3086
"474",11.44035477,11,21,3,0,0,0.029504808,38.034032,-121.333024
"475",12.11450545,21,51,3,0,0,0.029491152,37.9748,-121.310656
"476",11.22524339,9,49,2,0,0,0.069660877,37.975684,-121.268048
"477",11.6351431,13,39,3,0,0,0.009194457,38.000328,-121.342
"478",11.36789969,13,19,3,0,1,0.060343546,38.033712,-121.299936
"479",12.07254125,22,48,3,0,1,0.029413282,37.971764,-121.309592
"480",11.88448902,20,9,4,1,0,0.060455902,38.012224,-121.291696
"481",11.80559508,18,21,4,0,0,0.037024887,38.031108,-121.32388
"482",11.39639165,12,32,3,0,0,0.043572315,38.026872,-121.31528
"483",11.5228758,11,27,4,0,0,0.035487902,38.0264,-121.323744
"484",12.15477935,16,30,3,0,0,0.004668029,37.999388,-121.356464
"485",12.1281111,27,94,4,0,0,0.035035132,37.957648,-121.298248
"486",11.86709728,21,12,3,0,0,0.061055481,38.008564,-121.289672
"487",11.47210347,14,21,3,0,1,0.052258444,37.997396,-121.294856
"488",11.2185544,11,19,4,1,0,0.076373908,38.031004,-121.281776
"489",11.39639165,11.76,46,3,0,0,0.017387984,38.001892,-121.333832
"490",11.35039477,12,36,3,0,0,0.042016259,38.02446,-121.316032
"491",11.79244935,15,10,3,1,0,0.004965266,38.039364,-121.361272
"492",11.4616427,10,8,2,1,0,0.075271278,38.025196,-121.28076
"493",11.65702581,16,9,3,1,0,0.062347785,38.006652,-121.287568
"494",11.69107165,17,29,4,0,0,0.046987491,38.027176,-121.311744
"495",11.28915672,11,75,3,0,0,0.028434664,37.96112,-121.306616
"496",11.26446411,12,75,2,1,0,0.028515155,37.961136,-121.306536
"497",11.11914186,11,43,4,1,1,0.014790408,37.978856,-121.327904
"498",12.13081016,27,13,6,0,0,0.01441468,38.03904,-121.351048
"499",11.69524702,13,74,2,0,0,0.03977772,37.972716,-121.298872
"500",11.60823564,11,9,3,0,0,0.070542036,38.01838,-121.28324
"501",11.91772368,22,18,4,0,0,0.019210549,38.040032,-121.346296
"502",11.9381932,18,20,4,0,0,0.020342217,38.033008,-121.342432
"503",11.81265962,14,3,3,0,0,0.030211018,38.04634,-121.33692
"504",11.58988651,14,10,4,0,0,0.060461903,38.012368,-121.291744
"505",11.49272276,15,50,3,1,0,0.009656607,37.975172,-121.332
"506",11.67419361,15,4,4,0,1,0.070053917,38.008552,-121.280048
"507",11.35919137,12,46,3,0,0,0.008604707,37.976388,-121.333584
"508",12.27839331,19,3,2,0,0,0.012235388,37.980944,-121.357584
"509",11.60823564,15,47,3,0,0,0.007685544,37.969236,-121.331864
"510",11.99535161,18,8,3,0,0,0.000605993,38.041576,-121.366768
"511",11.84581988,11,47,2,0,0,0.023653348,37.965356,-121.313328
"512",11.40700924,11,18,3,0,0,0.073300318,38.030756,-121.284968
"513",11.71586631,16,17,3,0,0,0.01111286,38.037236,-121.353896
"514",11.91805718,18,88,3,1,0,0.046542756,37.97026,-121.290712
"515",11.49272276,13,48,2,0,0,0.027370142,37.971192,-121.31156
"516",12.27816072,21,16,3,0,0,0.013504759,37.999036,-121.336904
"517",11.1124479,10,89,3,1,0,0.039477724,37.96414,-121.295952
"518",12.16982351,19,14,3,1,0,0.008935637,37.998876,-121.341728
"519",11.52781408,13,23,3,0,0,0.002372622,38.011132,-121.358448
"520",11.1844214,9,84,3,1,0,0.042099302,37.973864,-121.296824
"521",11.86358234,19,20,4,0,0,0.006985369,37.994756,-121.342256
"522",11.91505167,16,48,3,0,0,0.029202019,38.008448,-121.32368
"523",11.2835123,10,40,3,1,0,0.037423031,38.0157,-121.317632
"524",11.36210258,13,39,3,0,0,0.111318134,38.0492,-121.251296
"525",11.33260191,13,41,3,1,0,0.02872566,37.984236,-121.31504
"526",11.3083583,11,44,3,0,0,0.045528997,38.00768,-121.305936
"527",12.18075484,23,53,3,0,0,0.013081268,37.96424,-121.324208
"528",12.11724143,21,9,4,0,0,0.003844945,37.961852,-121.3414
"529",11.57118494,13,49,3,0,0,0.006630747,37.97146,-121.333832
"530",12.07254125,18,9,3,1,0,0.001332067,38.033828,-121.365912
"531",11.6307085,16,21,3,0,0,0.03269472,38.038568,-121.331328
"532",11.67674355,16,6,4,0,0,0.065260428,38.008096,-121.285
"533",11.2708539,11,19,2,0,0,0.05873752,38.02612,-121.298784
"534",11.01039864,10,69,2,1,0,0.018712671,37.956968,-121.31544
"535",12.08672589,18,30,3,0,0,0.005035653,38.000084,-121.35712
"536",11.51242534,14,31,3,0,0,0.047974592,38.030032,-121.311768
"537",11.32055357,9,53,2,0,0,0.013315223,37.964796,-121.324168
"538",11.81191833,14,4,3,0,0,0.008917842,37.965016,-121.328952
"539",12.23076526,18,65,2,0,0,0.029958406,37.973412,-121.309632
"540",11.38509209,10,49,3,0,0,0.040491517,37.988708,-121.304152
"541",11.58058411,11,22,3,0,0,0.021824127,37.979256,-121.320536
