,Admin2,Province_State,Lat,Long_,Confirmed,Deaths,Recovered,County,State,TotalPop,Transit,WorkAtHome
2432,Salt Lake,Utah,40.66616532,-111.9216011,15083,130,0,Salt Lake,Utah,1078958.0,3.7,4.9
2433,Saluda,South Carolina,34.00795823,-81.72713237,300,2,0,Saluda,South Carolina,20000.0,2.0,4.8
2434,Sampson,North Carolina,34.98820368,-78.36914061,1217,7,0,Sampson,North Carolina,63873.0,0.5,3.0
2435,San Augustine,Texas,31.39457611,-94.17000399,130,12,0,San Augustine,Texas,8695.0,0.1,1.3
2436,San Benito,California,36.60308176,-121.069975,398,2,0,San Benito,California,57557.0,0.8,3.5
2437,San Bernardino,California,34.84060306,-116.1774685,20456,309,0,San Bernardino,California,2094769.0,1.7,4.2
2438,San Diego,California,33.03484597,-116.73653259999999,20887,436,0,San Diego,California,3223096.0,3.0,6.8
2439,San Francisco,California,37.75215114,-122.43856720000001,4640,50,0,San Francisco,California,840763.0,33.1,6.9
2440,San Jacinto,Texas,30.57933681,-95.16260304,104,2,0,San Jacinto,Texas,27023.0,0.0,3.7
2441,San Joaquin,California,37.93433732,-121.2730061,7216,73,0,San Joaquin,California,708554.0,1.5,3.7
2443,San Juan,New Mexico,36.50838318,-108.32043700000001,2742,173,0,San Juan,New Mexico,125133.0,0.3,2.9
2444,San Juan,Utah,37.62762978,-109.80337140000002,481,17,0,San Juan,Utah,15152.0,0.7,7.1
2445,San Juan,Washington,48.60182783,-122.96745,22,0,0,San Juan,Washington,15956.0,2.1,9.1
2446,San Luis Obispo,California,35.38822029,-120.4039028,1078,5,0,San Luis Obispo,California,276517.0,1.5,7.0
2447,San Mateo,California,37.422880799999994,-122.32755459999998,4168,114,0,San Mateo,California,748731.0,9.4,5.0
2448,San Miguel,Colorado,38.00450883,-108.4020725,50,0,0,San Miguel,Colorado,7676.0,17.2,13.2
2449,San Miguel,New Mexico,35.48014807,-104.8163562,28,0,0,San Miguel,New Mexico,28668.0,0.4,7.6
2450,San Patricio,Texas,28.00880118,-97.51763891,339,0,0,San Patricio,Texas,66070.0,0.2,3.6
2452,Sanborn,South Dakota,44.02351092,-98.09098159999999,12,0,0,Sanborn,South Dakota,2339.0,0.9,15.5
2454,Sandoval,New Mexico,35.68862401,-106.86878030000001,853,30,0,Sandoval,New Mexico,136638.0,1.2,5.7
2455,Sandusky,Ohio,41.35624126,-83.137872,180,15,0,Sandusky,Ohio,60187.0,0.6,1.9
2456,Sangamon,Illinois,39.75836914,-89.65872023,553,33,0,Sangamon,Illinois,199016.0,1.6,3.6
